transaction_date,transaction_id,customer_id,customer_fname,cusomter_lname,cusomter_email,sales_agent_id,branch_id,product_id,product_name,product_category,offer_1,offer_2,offer_3,offer_4,offer_5,units,unit_price,is_online,payment_method,shipping_address
2023-10-18,trx-237976222990,85517,Mia,Jones,mia.jones@outlook.com/,6,1,10,Sandals,Footwear,,,,,True,1,39.99,no,Cash
2022-5-8,trx-891084445200,85497,Michael,Williams,michael.williams@yahoo.com^,9,2,27,Iron,Appliances,,,True,,,1,29.99,no,Credit Card
2022-11-20,trx-911377237189,85485,James,Johnson,james.johnson@hotmail.com%x,6,5,9,Boots,Footwear,,,,,,8,129.99,no,Cash
2023-5-18,trx-121263458494,85468,William,Moore,william.moore@outlook.com)x,9,6,1,Laptop,Electronics,True,,,,,4,999.99,no,Credit Card
2022-2-7,trx-617255070261,85535,Olivia,Johnson,olivia.johnson@yahoo.com',4,4,30,Electric Kettle,Appliances,,,,,,3,24.99,no,Cash
2022-2-4,trx-110203063855,85545,William,Taylor,william.taylor@hotmail.com]x,5,2,9,Boots,Footwear,,,,,,7,129.99,no,Cash
2022-9-8,trx-013322439991,85552,John,Wilson,john.wilson@yahoo.com/,8,5,29,Hair Straightener,Appliances,True,,,,,4,39.99,no,Credit Card
2022-11-2,trx-443629484380,85515,James,Miller,james.miller@gmail.com(,6,5,28,Hair Dryer,Appliances,,True,,,,5,19.99,no,Credit Card
2023-10-12,trx-922479550468,85494,Sophia,Moore,sophia.moore@gmail.com(,11,2,7,Dress,Clothing,,,True,,,5,59.99,no,Credit Card
2022-11-5,trx-954632465852,85552,John,Wilson,john.wilson@yahoo.com{,2,2,24,Blender,Appliances,,,,,,3,49.99,no,Credit Card
2023-12-28,trx-759789154144,85467,Sophia,Wilson,sophia.wilson@yahoo.com:,2,6,1,Laptop,Electronics,,,,,,4,999.99,no,Cash
2023-12-7,trx-022416154142,85480,Emma,Jones,emma.jones@hotmail.com$u,6,1,15,Hoodie,Clothing,True,,,,,5,29.99,no,Credit Card
2023-11-4,trx-868990956760,85482,Emma,Moore,emma.moore@gmail.comm,4,5,7,Dress,Clothing,,,,,True,8,59.99,no,Cash
2023-12-1,trx-562802863935,85555,James,Smith,james.smith@yahoo.com|,5,1,24,Blender,Appliances,,,,True,,7,49.99,no,Cash
2022-3-12,trx-804928176409,85516,Mia,Miller,mia.miller@hotmail.com&,11,3,9,Boots,Footwear,,,,,,10,129.99,no,Cash
2023-4-12,trx-805987890738,85478,John,Johnson,john.johnson@hotmail.com[,7,6,28,Hair Dryer,Appliances,True,,,,,7,19.99,no,Credit Card
2022-7-28,trx-142590798830,85469,James,Smith,james.smith@hotmail.com\,4,6,17,Blouse,Clothing,,True,,,,10,29.99,no,Credit Card
2023-8-19,trx-299887764878,85482,Emma,Moore,emma.moore@gmail.com;,7,6,5,T-Shirt,Clothing,,,,,,5,19.99,no,Cash
2022-3-19,trx-521009740073,85558,Emma,Moore,emma.moore@hotmail.com}4,3,1,7,Dress,Clothing,,True,,,,7,59.99,no,Credit Card
2022-2-10,trx-417687722478,85473,Alexander,Moore,alexander.moore@gmail.com(,3,1,27,Iron,Appliances,,,,,,10,29.99,no,Credit Card
2022-4-13,trx-466215731984,85549,John,Williams,john.williams@hotmail.com)x,1,4,17,Blouse,Clothing,,,,,,3,29.99,no,Cash
2022-2-7,trx-167617439985,85462,James,Wilson,james.wilson@outlook.com)x,8,5,27,Iron,Appliances,,,,,,1,29.99,no,Cash
2023-6-11,trx-234867959482,85493,James,Jones,james.jones@gmail.com%x,8,5,30,Electric Kettle,Appliances,,,,,,4,24.99,no,Cash
2023-10-9,trx-111938940200,85506,Sophia,Wilson,sophia.wilson@hotmail.com)x,8,1,18,Boots,Footwear,,True,,,,4,149.99,no,Cash
